Variables;R² Test Linéaire;RMSE Test Linéaire;R² moyen (validation croisée) Linéaire;R² Test Random Forest;RMSE Test Random Forest;R² moyen (validation croisée) Random Forest
work_year, experience_level, remote_ratio, company_location;0.33314514284467567;51281.34533089384;-2.8158492827332244e+24;0.31381245556886883;52019.37931336674;0.2866066831266908
work_year, employee_residence, company_location, company_size;-8.719996414551814e+20;1854393532154473.5;-1.3839516811191883e+22;0.23016167973069523;55098.97417357935;0.24006918569102317
work_year, experience_level, job_title, company_size;0.23180579168471194;55040.10642293754;-1.9902635980053032e+24;0.2662476856484334;53792.099208546315;0.2385181465284088
employee_residence, remote_ratio, company_location, company_size;-2.882799512169723e+21;3371715874329949.0;-2.728791384997682e+22;0.2279607913726993;55177.67910358717;0.23768798637468525
work_year, experience_level, job_title, remote_ratio;0.23114851455977015;55063.647909926374;-4.4925553939537405e+24;0.26922326140721564;53682.917221695054;0.23343331954518098
employment_type, employee_residence, company_location, company_size;-1.324552037166838e+23;2.285484409865147e+16;-6.281524899651985e+24;0.24135744923480829;54696.85423244266;0.23328061584409926
work_year, employment_type, employee_residence, company_location;-5.12998584492858e+21;4497817543679685.5;-1.875730468441553e+22;0.23707741668363447;54850.92880812208;0.23174543184909485
work_year, employment_type, employee_residence, company_size;0.24378519459443493;54609.26592081299;-3.973858089054388e+25;0.22437814596225247;55305.556840517245;0.23058916889264522
experience_level, job_title, remote_ratio, company_size;0.21642352307427482;55588.4347805271;-1.0623418873032093e+25;0.2607536194051616;53993.11131680046;0.230421088180431
work_year, experience_level, employment_type, job_title;0.22671954039115438;55222.01742289917;-1.28098736591951e+25;0.2302055595489847;55097.4038650068;0.22983167088361803
work_year, employment_type, company_location, company_size;0.2463456726266785;54516.73640070012;-3.647890554610634e+25;0.21677774789509485;55575.86866235181;0.22904165284147746
work_year, employee_residence, remote_ratio, company_location;-3.1948085510352377e+22;1.1224478431891864e+16;-7.149142158967222e+22;0.23714622669068486;54848.455177122196;0.22791807675349257
employment_type, employee_residence, remote_ratio, company_location;-1.1205962655852251e+21;2102172430441644.2;-2.431822188315951e+22;0.23349208664758903;54979.66282411934;0.2277503254938768
employment_type, remote_ratio, company_location, company_size;0.23294511487338698;54999.275772849585;-4.485046846073473e+24;0.20613011090955113;55952.36081606856;0.22655724841521768
experience_level, employment_type, job_title, remote_ratio;0.20913094057668358;55846.51067861068;-1.4415750867716771e+25;0.27308783054031793;53540.78328312156;0.2253314312600178
experience_level, employment_type, job_title, company_size;0.2152018130244262;55631.75314222701;-2.1061079083789988e+24;0.2522058768754827;54304.36935779101;0.22410125873861722
work_year, remote_ratio, company_location, company_size;0.24030614128896544;54734.739880672016;-1.6652026344622108e+24;0.23127161005410257;55059.239803544675;0.2234424693286096
employment_type, employee_residence, remote_ratio, company_size;0.23466487399059677;54937.586196812335;-2.254861641122966e+25;0.22282022531211065;55361.07258298497;0.2228535449103452
work_year, employee_residence, remote_ratio, company_size;0.23710995772933163;54849.75901340549;-2.605562100969462e+24;0.21059895787833627;55794.6552399918;0.2182703851673456
work_year, employment_type, employee_residence, remote_ratio;0.24556109087086497;54545.105978755746;-1.3280277622133177e+24;0.22557867312513613;55262.73859404379;0.21674561301948841
work_year, employment_type, remote_ratio, company_location;0.24758177490231736;54472.01038123214;-5.795634626531338e+23;0.23935075816791607;54769.14598760228;0.2130830041752792
experience_level, employment_type, remote_ratio, company_size;0.22291278776475532;55357.77572078295;0.1798729964788306;0.2461532861922856;54523.694239921446;0.18719080314116032
work_year, experience_level, employment_type, remote_ratio;0.2450822070872145;54562.41461876533;0.18144611033479377;0.23682925666104393;54859.84891437721;0.18111816055643556
work_year, experience_level, remote_ratio, company_size;0.23760672760824475;54831.89789070771;0.19575272180444142;0.25302596025706836;54274.584203036655;0.17186210891809925
work_year, experience_level, employment_type, company_size;0.23865098946646313;54794.332973635916;0.18720154822523655;0.24868974414818612;54431.88937880561;0.16469416317971028
work_year, employment_type, job_title, company_size;0.10961154902950776;59256.16075035305;-8.278875140503519e+24;0.17043956695410367;57196.27762408081;0.13107516217429893
work_year, job_title, remote_ratio, company_size;0.10934735432243248;59264.951297272724;-1.0677498280856711e+25;0.19162373250683085;56461.25511509801;0.1155400199004264
work_year, employment_type, job_title, remote_ratio;0.09160176507734308;59852.444351688326;-6.075336033105766e+24;0.1605439262695535;57536.40709439438;0.10913085587141483
employment_type, job_title, remote_ratio, company_size;0.08346721600130158;60119.83122851262;-5.339067745641088e+24;0.16559151543177464;57363.16513430726;0.10472457446208001
work_year, employment_type, remote_ratio, company_size;0.08216899107641107;60162.39459673421;0.05082845225610153;0.11979337959421421;58916.38155131038;0.05559967104841386
