Variables;R² Test Linéaire;RMSE Test Linéaire;R² moyen (validation croisée) Linéaire;R² Test Random Forest;RMSE Test Random Forest;R² moyen (validation croisée) Random Forest
work_year, experience_level, remote_ratio, company_location;0.31828823254346317;51809.65913142444;-1.6677171180911475e+24;0.29958154085565636;52515.696671616264;0.30358553326632787
experience_level, job_title, remote_ratio, company_size;0.22782121259377597;55140.31884737938;-2.1092865039528788e+24;0.25444894777385985;54181.25162982203;0.26488963594686277
work_year, experience_level, job_title, remote_ratio;0.22914889791643;55092.894281197776;-6.309900650690547e+23;0.24787092940073363;54419.74809041361;0.2624316110263359
experience_level, employment_type, job_title, remote_ratio;0.21408703810427887;55628.52765123325;-1.3462010035618883e+23;0.24007292835530558;54701.12996355677;0.26079265993539413
employee_residence, remote_ratio, company_location, company_size;-8.762954528197053e+22;1.8575290680889536e+16;-4.743186906650954e+22;0.2153847773713803;55582.58035533131;0.25572583195822435
work_year, employment_type, employee_residence, company_location;-2.6923943822048515e+21;3255964622754180.0;-1.7758254929035386e+24;0.23455463683891675;54899.379757527284;0.251541372336798
work_year, experience_level, job_title, company_size;0.23838050771066344;54762.008064930415;-1.94220262082224e+24;0.26124418622776957;53933.77207125961;0.2507775968539761
work_year, employee_residence, company_location, company_size;-2.724629272433222e+21;3275397767869125.0;-5.33522173959727e+22;0.23135752574770585;55013.912112683414;0.25074822585989187
employment_type, employee_residence, company_location, company_size;-2.9527604929117972e+25;3.409765014038239e+17;-4.618734899889626e+24;0.2270237589341091;55168.784082926315;0.2482192369459877
work_year, employment_type, employee_residence, company_size;0.232459935649439;54974.446662337185;-4.649702150292292e+25;0.23350852707664727;54936.88156436042;0.2467288841212593
employment_type, employee_residence, remote_ratio, company_location;-3.5982051626563733e+22;1.1902914137328362e+16;-1.7741718418660953e+24;0.21944719759529419;55438.50155969105;0.2461556927420676
employment_type, employee_residence, remote_ratio, company_size;0.22571421456292207;55215.49664256472;-3.023726250737375e+25;0.2176684676692986;55501.63246320559;0.24399440700082248
work_year, employee_residence, remote_ratio, company_size;0.22701629160418568;55169.05056105035;-1.1127362954095588e+24;0.2145433434426387;55612.37619369506;0.24329043202894426
experience_level, employment_type, job_title, company_size;0.22728430928833065;55159.48531216716;-9.001639038164603e+24;0.25421385129440877;54189.793511339325;0.24304745336678507
work_year, employee_residence, remote_ratio, company_location;-1.6124929576430704e+22;7968182141828735.0;-3.909524751800112e+22;0.22874406361197708;55107.35917974764;0.24293626396373047
employment_type, remote_ratio, company_location, company_size;0.2197414966167962;55428.04932961909;-5.710220702763391e+24;0.1929945150502166;56370.07113417231;0.24152107352826807
work_year, experience_level, employment_type, job_title;0.2262609254706487;55195.99980731005;-9.624100700848342e+22;0.24612613469488187;54482.8331968617;0.2386782187882807
work_year, employment_type, employee_residence, remote_ratio;0.23404592733106455;54917.619594870965;-2.6992007392265288e+25;0.22629158418023532;55194.9062507431;0.23850082356212304
work_year, remote_ratio, company_location, company_size;0.2253594698920841;55228.14388505317;-8.884603557132538e+22;0.21240642603282223;55687.97446835934;0.23765809261643964
work_year, employment_type, remote_ratio, company_location;0.231131361682422;55022.00511776782;-3.737837541950484e+22;0.21737543046857688;55512.02608766256;0.2347495367858449
work_year, employment_type, company_location, company_size;0.23053210504232657;55043.44303194469;-6.038901595469773e+23;0.214069211697118;55629.15854244419;0.23447226227213908
experience_level, employment_type, remote_ratio, company_size;0.21361357280360793;55645.281549724205;0.18970874392814974;0.23609396872012656;54844.14988774736;0.19811740079789378
work_year, experience_level, remote_ratio, company_size;0.22327172509686666;55302.51688890484;0.1959327744279146;0.2304967749836766;55044.70667514626;0.18188015776908073
work_year, experience_level, employment_type, remote_ratio;0.22244412175630157;55331.97143826306;0.19326746928207617;0.21234739395138835;55690.06140479167;0.18057266935210187
work_year, experience_level, employment_type, company_size;0.2243957855826222;55262.48623559246;0.1959069434088068;0.22276750949455415;55320.46387816827;0.1787341933941677
work_year, job_title, remote_ratio, company_size;0.1259279818884873;58665.65828800765;-7.510716126416033e+23;0.1702084810999449;57160.34422201726;0.12735094308824915
work_year, employment_type, job_title, company_size;0.1265382571473792;58645.17459187298;-5.6952992999220456e+23;0.15811282949336714;57575.44261324455;0.12457263314830551
employment_type, job_title, remote_ratio, company_size;0.10471247601804534;59373.35714238982;-3.0707233517559515e+23;0.13090828890735218;58498.28628602251;0.12049737608394503
work_year, employment_type, job_title, remote_ratio;0.1028497736838655;59435.09006216354;-6.083114071310573e+23;0.15717908592597363;57607.362449252185;0.10339026187061844
work_year, employment_type, remote_ratio, company_size;0.07997929382512836;60187.89303884973;0.05411746090288403;0.11209752191057176;59127.97064526606;0.05625188871780344
